Month,Year,Arriavls,,,,
7,2018-19,0.77,,,,
8,2018-19,0.74,,,,
9,2018-19,0.69,,,,
10,2018-19,0.75,,,,
11,2018-19,0.80,,,,
12,2018-19,1.06,,,,
1,2018-19,0.73,,,,
2,2018-19,0.93,,,,
3,2018-19,0.84,,,,
4,2018-19,0.70,,,,
5,2018-19,0.67,,,,
6,2018-19,0.66,,,,
7,2021-22,0.02,,,,
8,2021-22,0.01,,,,
9,2021-22,0.00,,,,
10,2021-22,0.00,,,,
11,2021-22,0.02,,,,
12,2021-22,0.07,,,,
1,2021-22,0.06,,,,
2,2021-22,0.09,,,,
3,2021-22,0.17,,,,
4,2021-22,0.24,,,,
5,2021-22,0.23,,,,
6,2021-22,0.28,,,,
7,2022-23,0.33,,,,
8,2022-23,0.35,,,,
9,2022-23,0.37,,,,
10,2022-23,0.43,,,,
11,2022-23,0.51,,,,
12,2022-23,0.65,,,,
1,2022-23,0.41,,,,
2,2022-23,0.60,,,,
3,2022-23,0.61,,,,
4,2022-23,0.54,,,,
5,2022-23,0.51,,,,
6,2022-23,0.54,,,,
7,2023-24,0.63,,,,
8,2023-24,0.60,,,,
9,2023-24,0.58,,,,
10,2023-24,0.61,,,,
11,2023-24,0.66,,,,
12,2023-24,0.88,,,,
1,2023-24,0.60,,,,
2,2023-24,0.86,,,,
3,2023-24,0.76,,,,
4,2023-24,0.59,,,,
5,2023-24,0.60,,,,
6,2023-24,0.59,,,,
7,2024-25,0.66,,,,
8,2024-25,0.66,,,,
9,2024-25,0.63,,,,
10,2024-25,0.68,,,,
11,2024-25,0.70,,,,
12,2024-25,0.95,,,,
1,2024-25,0.71,,,,
2,2024-25,0.79,,,,
3,2024-25,0.76,,,,
4,2024-25,0.64,,,,
5,2024-25,0.61,,,,
6,2024-25,0.62,,,,
