Year,State,ArrivalsM
2014-15,NSW,2.67
2014-15,VIC,1.69
2014-15,QLD,1.6
2014-15,SA,0.22
2014-15,WA,0.74
2014-15,TAS,0.05
2014-15,NT,0.1
2014-15,ACT,0.07
2018-19,NSW,3.49
2018-19,VIC,2.46
2018-19,QLD,2.02
2018-19,SA,0.27
2018-19,WA,0.85
2018-19,TAS,0.09
2018-19,NT,0.07
2018-19,ACT,0.11
2023-24,NSW,3.06
2023-24,VIC,2.07
2023-24,QLD,1.63
2023-24,SA,0.23
2023-24,WA,0.76
2023-24,TAS,0.08
2023-24,NT,0.05
2023-24,ACT,0.1
2024-25,NSW,3.14
2024-25,VIC,2.17
2024-25,QLD,1.74
2024-25,SA,0.24
2024-25,WA,0.87
2024-25,TAS,0.08
2024-25,NT,0.05
2024-25,ACT,0.1
