Financial year,Type,Value_billion_AUD
2016-17,Domestic consumption ($b),97.892
2016-17,International consumption ($b),32.924
2017-18,Domestic consumption ($b),106.305
2017-18,International consumption ($b),35.445
2018-19,Domestic consumption ($b),120.643
2018-19,International consumption ($b),37.691
2019-20,Domestic consumption ($b),100.222
2019-20,International consumption ($b),28.495
2020-21,Domestic consumption ($b),88.312
2020-21,International consumption ($b),0.999
2021-22,Domestic consumption ($b),99.64
2021-22,International consumption ($b),5.831
2022-23,Domestic consumption ($b),157.461
2022-23,International consumption ($b),25.955
2023-24,Domestic consumption ($b),160.154
2023-24,International consumption ($b),38.329
